TimePeriod,GeoType,GeoID,GeoRank,Geography,Nitric Oxide Mean ppb,PM2.5 Mean mcg/m3,Black Carbon Mean absorbance units,Nitrogen Dioxide Mean ppb
Winter 2019-20,UHF42,307,4,Gramercy Park - Murray Hill,27.8,11,0.8,34.2
Winter 2019-20,UHF42,308,4,Greenwich Village - SoHo,28.9,11,0.8,31.6
Winter 2019-20,UHF42,309,4,Union Square - Lower East Side,26.8,10.3,0.8,30.1
Winter 2019-20,UHF42,310,4,Lower Manhattan,28,9.9,0.8,32.1
Winter 2019-20,UHF42,401,4,Long Island City - Astoria,31.5,8.3,0.8,27.6
Winter 2019-20,UHF42,402,4,West Queens,29.1,8.2,0.7,26.7
Winter 2019-20,UHF42,403,4,Flushing - Clearview,20.8,7.8,0.6,22.9
Winter 2019-20,UHF42,404,4,Bayside - Little Neck,18.4,7.6,0.5,19.9
Winter 2019-20,UHF42,405,4,Ridgewood - Forest Hills,22.2,7.7,0.6,25.3
Winter 2019-20,UHF42,406,4,Fresh Meadows,19.3,7.6,0.5,22.5
Winter 2019-20,UHF42,407,4,Southwest Queens,19.7,7.4,0.5,23.9
Winter 2019-20,UHF42,408,4,Jamaica,20.7,7.4,0.5,22.3
Winter 2019-20,UHF42,409,4,Southeast Queens,18.9,7.2,0.5,20.1
Winter 2019-20,UHF42,410,4,Rockaways,15.6,6.1,0.4,17.6
Winter 2019-20,UHF42,501,4,Port Richmond,18.3,7.4,0.6,21.9
Winter 2019-20,UHF42,502,4,Stapleton - St. George,16.5,7.2,0.5,20.5
Winter 2019-20,UHF42,503,4,Willowbrook,15.1,7,0.6,18.5
Winter 2019-20,UHF42,504,4,South Beach - Tottenville,13.5,6,0.5,15.4
Summer 2019,UHF42,101,4,Kingsbridge - Riverdale,5.6,7.8,0.8,10.4
Summer 2019,UHF42,102,4,Northeast Bronx,6.3,7.7,0.8,12.3
Summer 2019,UHF42,103,4,Fordham - Bronx Pk,6.2,7.8,0.9,12.2
Summer 2019,UHF42,104,4,Pelham - Throgs Neck,6.7,7.8,0.8,12.8
Summer 2019,UHF42,105,4,Crotona -Tremont,7.6,8.3,0.9,14.4
Summer 2019,UHF42,106,4,High Bridge - Morrisania,7.2,8.3,0.9,15.4
Summer 2019,UHF42,107,4,Hunts Point - Mott Haven,8.1,8.7,1,15.5
Summer 2019,UHF42,201,4,Greenpoint,10.4,9.9,1.2,19.2
Summer 2019,UHF42,202,4,Downtown - Heights - Slope,9,8.9,1,18
Summer 2019,UHF42,203,4,Bedford Stuyvesant - Crown Heights,6,8.1,0.8,14.3
